"gene_id","avg_rank"
"ENSG00000113389",1352
"ENSG00000077585",1352.2
"ENSG00000250337",1354
"ENSG00000122679",1354.6
"ENSG00000254138",1355.4
"ENSG00000146674",1355.8
"ENSG00000172554",1356.2
"ENSG00000185811",1360.6
"ENSG00000168621",1362.4
"ENSG00000158321",1364.6
"ENSG00000218819",1365
"ENSG00000171848",1365.2
"ENSG00000183166",1366.2
"ENSG00000287881",1366.4
"ENSG00000285876",1366.8
"ENSG00000235537",1371.4
"ENSG00000135218",1371.6
"ENSG00000075223",1372.8
"ENSG00000138031",1373.4
"ENSG00000134363",1373.6
"ENSG00000019991",1373.8
"ENSG00000153956",1374.8
"ENSG00000228262",1375.8
"ENSG00000287255",1377.2
"ENSG00000115828",1378
"ENSG00000153993",1378.2
"ENSG00000164659",1379.8
"ENSG00000236824",1380.2
"ENSG00000113088",1381
"ENSG00000085563",1381.6
"ENSG00000228113",1383.6
"ENSG00000164512",1384
"ENSG00000127954",1384.6
"ENSG00000227646",1386
"ENSG00000285755",1387.4
"ENSG00000235450",1388
"ENSG00000250421",1389.2
"ENSG00000204929",1390.4
"ENSG00000249335",1390.8
"ENSG00000105825",1390.8
"ENSG00000069020",1391.6
"ENSG00000123219",1392.4
"ENSG00000236780",1392.4
"ENSG00000164692",1393.4
"ENSG00000286062",1394
"ENSG00000198780",1395.2
"ENSG00000004799",1396.4
"ENSG00000158560",1397.4
"ENSG00000152413",1398.8
"ENSG00000160870",1399.8
"ENSG00000034510",1400.6
"ENSG00000160868",1400.8
"ENSG00000021461",1401.8
"ENSG00000113319",1402.8
"ENSG00000163586",1403
"ENSG00000249835",1403.2
"ENSG00000291127",1403.2
"ENSG00000106366",1403.4
"ENSG00000222041",1404.8
"ENSG00000113273",1405.6
"ENSG00000158050",1405.8
"ENSG00000234715",1406
"ENSG00000189056",1407
"ENSG00000113369",1409
"ENSG00000040933",1409.8
"ENSG00000286076",1410
"ENSG00000248309",1410.2
"ENSG00000115594",1410.2
"ENSG00000196460",1411
"ENSG00000170417",1411
"ENSG00000115641",1413.6
"ENSG00000091136",1413.6
"ENSG00000198075",1414.4
"ENSG00000091129",1414.6
"ENSG00000226965",1415.8
"ENSG00000169679",1416.8
"ENSG00000248202",1417.8
"ENSG00000144136",1418.4
"ENSG00000105967",1418.8
"ENSG00000105974",1421.6
"ENSG00000001626",1424.4
"ENSG00000083622",1425.4
"ENSG00000136002",1425.8
"ENSG00000077063",1426.4
"ENSG00000176771",1426.6
"ENSG00000184408",1428
"ENSG00000228043",1429.2
"ENSG00000179603",1432
"ENSG00000080709",1432.2
"ENSG00000092421",1434
"ENSG00000221866",1434.8
"ENSG00000162947",1436.4
"ENSG00000181072",1440.4
"ENSG00000153246",1440.8
"ENSG00000115183",1443.8
"ENSG00000236283",1444.4
"ENSG00000059377",1445.2
"ENSG00000078098",1446
"ENSG00000146966",1446.4
"ENSG00000061455",1447
"ENSG00000261115",1447.4
"ENSG00000178662",1447.8
"ENSG00000169507",1448
"ENSG00000257335",1448.4
"ENSG00000169432",1449
"ENSG00000145832",1450
"ENSG00000158402",1451.2
"ENSG00000152377",1451.8
"ENSG00000158458",1453.2
"ENSG00000289349",1453.8
"ENSG00000224577",1454.6
"ENSG00000225205",1456
"ENSG00000138448",1461
"ENSG00000150722",1461.2
"ENSG00000286797",1463.8
"ENSG00000227227",1463.8
"ENSG00000185053",1465.8
"ENSG00000104723",1466.8
"ENSG00000182578",1467.2
"ENSG00000038945",1467.8
"ENSG00000253980",1470.2
"ENSG00000247199",1470.8
"ENSG00000253557",1471.6
"ENSG00000118997",1472.6
"ENSG00000147408",1473.2
"ENSG00000072571",1474.4
"ENSG00000168546",1475.4
"ENSG00000163535",1475.4
"ENSG00000162944",1475.8
"ENSG00000283413",1477.2
"ENSG00000178562",1478.6
"ENSG00000159167",1478.8
"ENSG00000042980",1479.8
"ENSG00000253535",1480.8
"ENSG00000234902",1481.8
"ENSG00000021826",1481.8
"ENSG00000157168",1487
"ENSG00000115461",1488.2
"ENSG00000145934",1488.4
"ENSG00000291236",1489.6
"ENSG00000077782",1490
"ENSG00000131459",1490.2
"ENSG00000147526",1491
"ENSG00000204767",1491.4
"ENSG00000163082",1492.8
"ENSG00000253939",1493
"ENSG00000169047",1494
"ENSG00000115009",1495.2
"ENSG00000170542",1495.4
"ENSG00000147481",1496.8
"ENSG00000144476",1496.8
"ENSG00000144481",1497
"ENSG00000037280",1497.8
"ENSG00000147488",1498.4
"ENSG00000227252",1499.8
"ENSG00000134121",1501.4
"ENSG00000247925",1501.8
"ENSG00000254087",1502
"ENSG00000091181",1502.4
"ENSG00000078401",1504.4
"ENSG00000235978",1505.8
"ENSG00000189229",1507
"ENSG00000198846",1507
"ENSG00000182533",1507.2
"ENSG00000196220",1507.8
"ENSG00000180438",1510.4
"ENSG00000172817",1510.6
"ENSG00000287127",1512.8
"ENSG00000185697",1513.8
"ENSG00000197977",1514.8
"ENSG00000046889",1514.8
"ENSG00000223351",1517
"ENSG00000235531",1518.6
"ENSG00000228791",1519.2
